م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
2840,شركة المراكز العربية شركة مساهمة مدرجة,Al Marakez Al Arabiyya Sharikat Musahama Mudrajah Company
2841,شركة أموال الأجيال القابضة,Amwal Alajyal Holding Company
2842,شركة حلول الميادين الحديثة للتجارة والمقاولات شركة الشخص الواحد شركة شخص واحد,Halool Almayadeen Alhaditha Littijara Walmuqawalat Sharikat Alshakhs Alwahid Company
2843,شركة شبه الجزيرة للمقاولات,Shibh al Jazirah For Contracting Company
2844,شركة عافيه العالمية,Aafiah Global Company
2845,شركة كات انترناشنال المحدودة شركة شخص واحد,CAT International LLC Company Ltd. sharikat shakhs wahid
2846,شركة كمال عثمان جمجوم للتجارة,Kamal Othman Jamjoom For Trading Company
2847,شركة نيسان العربية السعودية المحدودة شركة ذات شخص واحد ـ,Nissan Al Arabia Al Saudiyya Al Mahdooda Sharika Company
2848,مؤسسة القيمة المنطقية للتجارة,alqimah almaniqiyyah For Trading Establishment
2849,شركة ارامكس السعوديه المحدودة شركة شخص واحد,Aramex Al Saudiyah Ltd. Company
2850,شركة الذهب الاصفر للصناعة شركة شخص واحد,aldhahab alasfar For Manufacturing Company
2851,شركة الرفادة العربية التجارية,Alrifadah Alarabiyah Commercial Company
2852,شركة المصنع الوطني لمعالجة وتحسين المعادن,Almasna Alwatani Limalajat Wa Tahseen Almaaden Company
2853,شركة ايلاف العربية للمقاولات العامة شركة شخص واحد,Ilaaf Al Arabiyya For General Contracting Company
2854,شركة ركن السبائك للمعادن الثمينة,Rukn AlSabaik For precious metals Company
2855,شركة فيرجلف السعودية للتجارة,Fayrjalf Al Saudiyyah For Trading Company
2856,شركة محمد سالم السويدي القابضه مساهمة مقفلة,Mohammad Salem Al Suwaidi Al Qabidah Musahamah Muqafalah Company
2857,شركة مطوفي حجاج الدول العربية,Mutawfi Hujjaj AlDuwal AlArabiyyah Company
2858,شركه هشام السويدي للتجاره المحدوده,Company Hesham ElSewedy Limited 
2859,فرع شركة المشروعات البتروليه المصريه,alMashruat alBitruliyah alMasriyah Foreign Company Branch
2860,شركة احمد عبدالوهاب عابد للتجارة شركة مساهمة مقفلة,Ahmad Abdulwahab Abid Alqabida Sharika Musahama Muqfala Company
2861,شركة اسرار العروبة للتجارة,Asrar Al Urooba For Trading Company
2862,شركة الخدمات الصناعية التخصصية المحدودة,alkhadamat alsinaeia alta khasusiya Ltd. Company
2863,شركة الزامل للصناعات المعدنيه الثقيله,Company AL ZAMIL industries
2864,شركة الشمس والرمال للرياضة,alshams walramal For sports Company
2865,شركة المؤسسة العربية للتجارة والملاحه والاعمال البترولية,Almuassasah Alarabiyyah Littijarah Walmalahah Walaamal Albatrawliyah Company
2866,شركة إعمار السعودية للإنشاء والتطوير,Imar Al Saudiah Lil Insha Wal Tatweer Company
2867,شركة تجميع المعادن المحدودة شركة شخص واحد,Tajmi almaaden Ltd. Company
2868,شركة حمد وأحمد محمد المزيني العقارية شركة مساهمة مقفلة,Hamid wa Ahmad Muhammad AlMuzaini AlAqariyah Sharikat Musahamah Muqafalah Company
2869,شركة دلمون المحدودة,Dalmun Ltd. Company
2870,شركة ديار القابضة,Diyar Holding Company
2871,شركة رضاكم المتحدة للتجارة شركة الشخص الواحد (شركة شخص واحد),Ridakum AlMuttahida For Trading Company
2872,شركة روافد للصناعة,Rawafid For Manufacturing Company
2873,شركة كيما الخليج للتجارة,Kima Alkhaleej For Trading Company
2874,شركة محطات الحاويات الوطنية المحدودة شركة شخص واحد,Mahatat Alhawiyat Alwataniya Ltd. Company
2875,شركة محمد باوزير للتجارة,Mohammad Bawzeer For Trading Company
2876,شركة مرامر للمقاولات شركة مساهمة سعودية مقفلة,Maramer lilmuqawalat Sharikat Musahama Saudiyya Muqafala Company
2877,شركة مزارع الفروج الذهبي للانتاج الزراعي والحيواني مساهمه مقفله,Mzarie alforooj aldhahabi lilintaj alziraei walhayawani musahama maqfalah Company
2878,شركة معدات الجزيرة شركة شخص واحد,Muaddat AlJazirah Company
2879,شركة ميمف للصناعات الكهربائية مساهمة مقفلة,Mimaf lilSinaat alKahrabaiyya Musahama Muqafala Company
2880,شركه الهرم للاستيراد والتصدير المحدوده,Alharam Lilistirad Walttasdir Almahdoooda Company
2881,شركه طويق للصيانه والتشغيل المحدوده شركة شخص واحد,Twaik lilSiyana walTashghil alMahdooda Company
2882,شركه محمد ابراهيم السبيعي واولاده للاستثمار مساهمة مقفلة,Mohammad Ibrahim Alsubaie Wa Awladah Lilistithmar Musahamah Maqfalah Company
2883,مؤسسة اعلى الهرم التجارية,ala alharam Commercial Establishment
2884,مؤسسة الشايش بن رسلان بن مهو السبيعي العنزي للخدمات التجارية,Alshayesh bin Ruslan bin Mahu Alsubaie Alanzai For Commercial Services Establishment
2885,الشركة الدولية للاجهزة الالكترونية مساهمة مقفلة,AlDawliyah LilAjhizah AlIliktruniyah Musahamah Muqaflah Company
2886,الشركة الوطنية للإدارة والخدمات المحدودة شركة شخص واحد,Company alWataniyah lilIdarah walKhadamat Ltd.
2887,الشركه العربيه المتحده للزجاج المسطح,alArabiyyah alMuttaidah lilZujj alMua Company
2888,شركة ابناء محمد موسى بوخمسين,Abna Muhammad Musa Bukhamsin Company
2889,شركة احمد بن عبدالرحمن بن عفيف التجاريه,Ahmad bin Abdulrahman bin Afif AlTijariyah Company
2890,شركة ارام ميم للخدمات التجارية شركة شخص واحد شركة شخص واحد,Aram Mim Lilkhadamat Altijaria Sharika Dhat Almasuuliyya Almahduuda Min Company
2891,شركة الابهار السعودية للصناعات الغذائية,alIbhaar asSuudiyyah for Food Production Company
2892,شركة الأندلس التعليمية,Company Al Andalus educational
2893,شركة البيك للأنظمة الغذائية,Albayk lilanzimah Food Company
2894,شركة التسويق الشامل المحدودة,AlTasweeq AlShamil Ltd. Company
2895,شركة الجادة الأولى للتطوير العقاري,aljada alawla For Real Estate Development Company
2896,شركة الخزامى التجارية,Alkuzama Company Commercial
2897,شركة الشروق الطيب التجارية شركة شخص واحد,AL SHROUQ AL TAYEB Company
2898,شركة العقيق للتنمية العقارية شركة شخص واحد,AlAqiq lilTanmiya Real Estate Company
2899,شركة القاضي للتجارة والصناعة شركة شخص واحد,AlQadi lilTijara walSinaa Company
2900,شركة الكابلى التجارية,Company Alkabli Commercial
2901,شركة الكابلي للتسويق,Company AlKabli For Marketing
2902,شركة المسار الحديث المحدودة,almasar alhadith Ltd. Company
2903,شركة المشروبات النقية للصناعة شركة مساهمة مقفلة,Almashrubat Alnaqiya LilSinaa Sharikat Musahama Muqfala Company
2904,شركة المصنع السعودي لأوعية الالمنيوم,Almasna Alsaudi Liawiyat Alalm Company
2905,شركة النافع للاعلاف شخص واحد,Alnafih For Fodder Products Company
2906,شركة الهاجري لما وراء البحار,Alhajri Lama Wara Albihaar Company
2907,شركة الوسوم العربية التجارية شركة مساهمة سعودية مقفلة,Alwasoom Alarabiyya Altejariyya Sharikat Musahama Saudiya Muqfala Company
2908,شركة الوقود المتكاملة المحدودة للمحروقات,alWaqood alMutakamilah alMahdoodah For hydrocarbons Company
2909,شركة الياسين الزراعيه مساهمه مقفله,AlYasn AlZaryah Mushimah Muqaflah Company
2910,شركة امداد الغربية للمنتجاة البترولية شركة شخص واحد,Imdad al Gharbiyah For Petrol Products Company
2911,شركة انيكستر السعودية المحدودة,Anikstar Al Saudiah Ltd. Company
2912,شركة اهداف القابضة للتنمية,Ahdaf Alqabida Development Company
2913,شركة اوغاريت كو للمواد الغذائية,Ogharit Ko For food products Company
2914,شركة ايمان للتوكيلات والتجاره والمقاولات,Iman lilTawkilat walTijarah walMuqawalat Company
2915,شركة إبداعات للمقاولات المعمارية شركة شخص واحد,Ibdaat For Architectural Contracting Company
2916,شركة إبراهيم الشنيفي للتجارة والمقاولات المحدودة,Ibrahim Alshunifi Littijara Walmuqawalat Ltd. Company
2917,شركة إبراهيم يوسف المهيدب وأولاده التجارية شركة سعودية مساهمة مقفلة,Ibrahim Yusuf AlMuheidib wa Awladuh AlTijariyah Sharikat Saudiya Musahamah Muqafalah Company
2918,شركة إيجارة للتمويل شركة شخص واحد مساهمه مقفله,Ijara lil tamwil musahama maqfalah Company
